ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2020-08-29,94155.29289808353,40346.59100032758,149222.02948289813,94155.29289808353,94155.29289808353,-1649.4229586550562,-1649.4229586550562,-1649.4229586550562,-1649.4229586550562,-1649.4229586550562,-1649.4229586550562,0.0,0.0,0.0,92505.86993942848,104671.0
2020-08-30,94731.84933302634,22638.915183182067,149087.18662157765,94731.84933302634,94731.84933302634,-4246.29772881978,-4246.29772881978,-4246.29772881978,-4246.29772881978,-4246.29772881978,-4246.29772881978,0.0,0.0,0.0,90485.55160420656,103462.0
2020-08-31,95308.40576796916,41044.76349206013,147166.40389664314,95308.40576796916,95308.40576796916,-8004.503712589527,-8004.503712589527,-8004.503712589527,-8004.503712589527,-8004.503712589527,-8004.503712589527,0.0,0.0,0.0,87303.90205537963,94202.0
2020-09-01,95884.962202912,39001.421840224306,150464.96991835194,95884.962202912,95884.962202912,-3166.560083049451,-3166.560083049451,-3166.560083049451,-3166.560083049451,-3166.560083049451,-3166.560083049451,0.0,0.0,0.0,92718.40211986254,103864.0
2020-09-02,96461.51863785482,55038.07501060719,153516.91930371354,96461.51863785482,96461.51863785482,722.6113223444871,722.6113223444871,722.6113223444871,722.6113223444871,722.6113223444871,722.6113223444871,0.0,0.0,0.0,97184.12996019931,110466.0
2020-09-03,97038.07507279763,61674.22809503004,168276.4946058102,97038.07507279763,97038.07507279763,16363.434287200027,16363.434287200027,16363.434287200027,16363.434287200027,16363.434287200027,16363.434287200027,0.0,0.0,0.0,113401.50935999765,111544.0
2020-09-04,97614.63150774044,45753.512791183166,153881.7497835665,97614.63150774044,97614.63150774044,-19.261126423686306,-19.261126423686306,-19.261126423686306,-19.261126423686306,-19.261126423686306,-19.261126423686306,0.0,0.0,0.0,97595.37038131675,115322.0
2020-09-05,98041.93523569006,44982.38472318948,152549.16860419296,98041.93523569006,98041.93523569006,-1649.4229586353422,-1649.4229586353422,-1649.4229586353422,-1649.4229586353422,-1649.4229586353422,-1649.4229586353422,0.0,0.0,0.0,96392.51227705472,115192.0
2020-09-06,98469.23896363964,36723.3270602276,149533.6496634237,98469.23896363964,98469.23896363964,-4246.297728812428,-4246.297728812428,-4246.297728812428,-4246.297728812428,-4246.297728812428,-4246.297728812428,0.0,0.0,0.0,94222.94123482722,117048.0
2020-09-07,98896.54269158925,40045.291310645436,149250.81786459792,98896.54269158925,98896.54269158925,-8004.503712568997,-8004.503712568997,-8004.503712568997,-8004.503712568997,-8004.503712568997,-8004.503712568997,0.0,0.0,0.0,90892.03897902025,101125.0
